企業名,働き方と裁量,働き方と裁量（タグ）,組織文化,組織文化（タグ）,成長と挑戦,成長と挑戦（タグ）,価値観共鳴,価値観共鳴（タグ）,人間関係,人間関係（タグ）,顧客との接点,顧客との接点（タグ）,業務スタイル,業務スタイル（タグ）,評価と報酬,評価と報酬（タグ）,多様性と自分らしさ,多様性と自分らしさ（タグ）,安定と変化,安定と変化（タグ）,Step1,Step2,Step3,Step4,Step5,Step6,特徴・傾向（面接で重視されること等）,締切・スケジュール（任意）,例年の質問（任意）,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業プロフィール,事業内容
ホンダ,6,"開発部門など一部に裁量あり, 工場職は時間管理型",6,“本田宗一郎”の精神を受け継ぐ挑戦的な社風,8,電動化・空飛ぶクルマ・海外展開など積極的,8,“技術で人を幸せにする”という理念が浸透,6,研究開発・生産・営業がプロジェクトで連携,5,販売・整備店との接点はあるが間接的,6,大規模だが職種別に一定の柔軟性あり,6,成果・能力に基づいた制度改革を推進中,6,グローバルかつ多様性への対応が進行中,9,技術力・ブランド・世界市場で非常に高い安定性,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,自動車業界への深い理解、技術とデザインへの情熱、グローバル視点が求められる。,3月エントリー、4月〜5月選考、6月内定。,「自動車業界の未来」「技術を使って社会をどう変えるか」など。,ISTP,"ESTP, ISTJ, ESTJ",https://www.honda.co.jp/,自動車,大規模,ホンダ（本田技研工業）は、二輪車、四輪車、パワープロダクツを展開する日本を代表する総合モビリティメーカーです。,自動車・バイク・汎用製品の開発・製造・販売、ロボティクス・航空機開発
ホンダアクセス,5,"本社部門での裁量あり, 工場系は固定スケジュール中心",6,ホンダグループらしい誠実さと改善志向の文化,6,カスタムパーツや新モビリティ領域に挑戦中,6,“移動をもっと楽しく”という理念が製品に表れる,6,設計・製造・営業が連携し商品化を推進,4,直接顧客接点は薄く販売ディーラー経由が多い,5,業務は職種分業型で柔軟性はやや限定,6,成果とチーム貢献を重視したバランス評価,5,自動車業界の特性上、多様性は限定的,8,ホンダグループ内での需要に支えられる安定性,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,自動車部品・アクセサリーへの知識、エンジニアリングの発展への情熱が評価される。,3〜5月に選考、6月内定。,「自動車部品の開発に必要なスキル」「アイデアを実現した経験」など。,ISTP,"ESTP, ISTJ, ESTJ",https://www.honda-access.co.jp/,自動車部品,大規模,ホンダアクセスは、ホンダ車向け純正アクセサリーを企画・開発するグループ企業で、ユーザーのカーライフを豊かにする製品を提供しています。,自動車用純正アクセサリー・パーツの企画・開発・販売
マーキュリー,5,"['部署や人によりバラつきあり', '部分的に裁量あり', '裁量と指示のバランス型']",5,"['上下関係は普通', '中間的な文化', '部署により差あり']",6,"['基礎的な成長環境あり', '成長速度は普通', '段階的に任される']",5,"['ビジョン共感をある程度重視', '理念浸透は部署差あり']",6,"['人により当たり外れあり', '部署差がある', '普通に良好']",7,"['顧客とのやり取りが日常的', '対人接点が中心']",5,"['安定業務＋企画もある', 'ロジカル＋作業のバランス']",5,"['バランス評価', '過程も成果も見られる', '等級制度あり']",5,"['ある程度の多様性あり', '部署によって自由度差あり']",6,"['変化と安定が両立', '守りと攻めのバランス', '新旧が混在']",エントリー , 書類選考 , グループ面接 , 個人面接 , 内定,,コミュニケーション力・接客力を重視。集団面接で積極性が見られる。,3月〜4月エントリー開始。選考期間は1ヶ月程度。,「人と関わる仕事で大切にしていること」「チームで成果を出した経験」など。1次はグループ面接。,ESFP,"ISFP, ESFP, ESTP, ENFP",https://mercury-group.co.jp/,販売,大規模,マーキュリーは、人材サービスを中心に、営業支援やフィールドプロモーションなど幅広いアウトソーシングサービスを提供しています。,人材派遣、業務請負、販売支援、営業代行、BPOサービス
マイクロアド,8,ベンチャー気質で裁量が非常に高く自由度もある,8,“データで広告を変える”という技術ドリブン文化,7,自社プロダクト・データ連携強化など継続挑戦中,8,“社会に必要とされる広告”という理念が社内に浸透,7,営業・開発・CSが一体で動くスピード感ある組織,6,広告主との直接接点・支援機会が豊富,7,プロダクト単位で柔軟に動ける横断体制,8,成果主義＋挑戦を評価する文化が強い,7,年齢・経歴問わず多様なメンバーが活躍,6,競争激しい業界だが独自路線で一定の安定感あり,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,デジタルマーケティングの理解、データ解析能力、企画力が評価される。,3月エントリー、4〜5月選考、6月内定。,「デジタル広告の未来」「広告業界での挑戦経験」など。,ENTP,"INFJ, ENFP, ENTJ",https://www.microad.co.jp/,広告テクノロジー,中規模,マイクロアドは、広告配信プラットフォームを中心にデジタルマーケティングの最前線で活躍するテクノロジー企業です。,アドテクノロジー開発、データマーケティング、広告配信プラットフォーム運営
マイナビ,6,"営業・企画職は一定の裁量あり, 内勤は時間管理型",6,“伴走する”という姿勢を大切にした丁寧な文化,6,HR領域のSaaS連携・教育など拡大中,7,“人と企業の成長を支援する”という理念が共有,6,営業と制作がチームで企業支援を行う体制,7,学生・求職者との接点が豊富,6,チームで分担しながらのプロジェクト型業務,6,実績＋姿勢を総合的に見る評価制度,6,営業職中心に多様な働き方が選択可能,8,就職情報メディアとしての安定した基盤あり,エントリー , 書類選考 , Webテスト , 面接2回 , 内定,,学生の主体性・柔軟性・変化対応力を評価。若手育成重視のため将来性に注目。,3月〜4月に本選考。職種別にスケジュールは若干異なる。,「学生時代に工夫して行動した経験」「自分の短所をどう克服したか」など。個人面接中心で穏やかな雰囲気。,ENFJ,"ENTP, INFJ, ENFP",https://www.mynavi.jp/,人材サービス,大規模,マイナビは、新卒・中途採用支援サービスを中心に、人材関連領域で幅広いメディア・サービスを展開する総合人材情報企業です。,求人メディア運営（新卒・転職・アルバイト）、人材紹介、進学・結婚・不動産等ライフイベント領域の支援
マスメディアン,6,"['部分的に裁量あり', '裁量と指示のバランス型', '部署や人によりバラつきあり']",6,"['上下関係は普通', '部署により差あり', '中間的な文化']",6,"['段階的に任される', '基礎的な成長環境あり', '成長速度は普通']",5,"['ビジョン共感をある程度重視', '理念浸透は部署差あり']",6,"['人により当たり外れあり', '普通に良好', '部署差がある']",7,"['顧客とのやり取りが日常的', '対人接点が中心']",6,"['ロジカル＋作業のバランス', '安定業務＋企画もある']",5,"['バランス評価', '過程も成果も見られる', '等級制度あり']",5,"['ある程度の多様性あり', '部署によって自由度差あり']",6,"['守りと攻めのバランス', '新旧が混在', '変化と安定が両立']",エントリー , 書類選考 , 面接2回 , 内定,,,広告・出版業界志望への明確な動機を重視。丁寧な受け答えや文章力も評価対象。,3月〜5月に本選考が集中。,「なぜ広告業界か」「どのように情報発信したいか」など。1対1の個人面接形式。,ESFJ,"ISFJ, ESTJ, ESFJ, ENFJ",https://www.massmedian.co.jp/,広告・出版,中規模,マスメディアンは、広告・Web・マスコミ業界専門の転職支援・キャリア支援を行う人材紹介会社です。,広告・Web・マスコミ業界に特化した人材紹介、人材派遣、キャリア相談
マッキャンエリクソン,8,"クリエイティブ系職種に裁量あり, フレックス制活用可",8,“戦略×感性”を大切にするグローバル広告文化,7,外資系として新規提案や統合型施策に強み,8,“ブランド価値を最大化する”という理念が明確,7,営業・制作・プランニングの連携が密接,6,クライアントとの直接接点が多い,7,案件ごとに編成が変わる柔軟なプロジェクト型,8,成果主義＋チーム貢献も評価される文化,8,国籍・性別・バックグラウンド問わず多様性が強い,7,グローバルネットワークにより安定性は高い,エントリー , 書類選考 , 面接複数回 , 内定,,,広告業界への情熱、クリエイティブ志向、プレゼン力や提案力が評価される。,3月〜5月選考、6月内定。,「印象に残った広告」「企画を実行した経験」など。,ENFP,"INFJ, ENTP, ENTJ",https://www.mccann.co.jp/,広告代理店,大規模,マッキャンエリクソンは、世界有数のグローバル広告代理店で、日本市場でも大手クライアントを多数抱える総合広告会社です。,広告・マーケティング戦略立案、ブランディング、クリエイティブ制作、デジタルマーケティング
マッキンゼー・アンド・カンパニー,9,圧倒的な裁量と働き方の自由がある,9,“問題解決への情熱”が全社員に共通する文化,9,世界中の課題に向けた支援・新領域への進出が加速,9,“クライアントの変革を導く”という理念が根幹,9,分析・戦略・実行までをチームで密に連携,5,接点は主にクライアント経営層で一般顧客は少ない,9,職種にとらわれず柔軟な役割変更が可能,9,成果・行動・インパクトを徹底的に評価,9,圧倒的な多様性と国際性を持つ組織風土,9,世界最高峰の実績と評判により抜群の安定性,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,戦略コンサルタントとしての論理的思考力、コミュニケーション能力、問題解決力が求められる。,3月選考開始、4〜5月選考、6月内定。,「問題解決のアプローチ」「課題をどう乗り越えたか」など。,ENTJ,"ESTJ, ENTP, INTJ",https://www.mckinsey.com/jp,コンサルティング,大規模,マッキンゼー・アンド・カンパニーは、世界屈指の経営戦略コンサルティングファームで、日本においても長年にわたり企業の成長を支援してきました。,経営戦略、組織改革、デジタル変革、企業再生、サステナビリティ推進などの戦略コンサルティング
マツダ,6,"技術職は裁量あり, 工場職は固定勤務が中心",6,“走る歓び”にこだわる職人気質と挑戦文化の融合,7,EV開発・北米戦略・モビリティ連携などに積極,7,“人馬一体”を通じた感動提供が理念にある,6,技術・営業・現場がプロジェクト単位で連携,5,販売チャネル経由での接点が中心,6,"職種ごとに自由度あり, 組織も改善傾向",6,成果と改善行動を評価する制度,6,"多様性推進は進行中, 一部女性技術者活躍",8,安定的な海外販売とブランド価値で堅実な安定性,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,自動車業界への理解、設計や技術に対する興味、グローバルな視野が評価される。,3月エントリー、4〜5月選考、6月内定。,「車に対する思い」「自動車業界の課題」など。,ISTP,"ESTP, ISTJ, ESTJ",https://www.mazda.co.jp/,自動車,大規模,マツダは、広島に本社を構える日本を代表する自動車メーカーで、独自の技術開発と走行性能に強みを持っています。,乗用車・商用車の開発・製造・販売、モビリティサービス、グローバル展開
マツダE&T,5,設計・技術職中心で裁量は限定的,6,協力会社として真面目で実直なエンジニア文化,5,本体支援に徹しつつもCADなど新領域に対応中,6,“裏からクルマを支える”という使命感が共有,5,マツダ本体との連携を主軸とする構成,3,エンドユーザーとの接点は基本的にない,5,ルーチン設計が多く柔軟性は限定的,5,勤続・貢献ベースの評価傾向,5,"社風は保守的, 多様性は限定的",7,マツダ案件の安定供給が基盤にある,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,エンジニアリングへの理解、製品開発や技術に対する興味が求められる。,3月〜5月に選考、6月内定。,「自動車設計の技術的興味」「技術的課題解決の経験」など。,ISTP,"ESTP, ISTJ, ESTJ",https://www.madhouse.co.jp/,自動車エンジニアリング,中規模,マツダE&Tは、マツダグループの一員として、設計・開発を支えるエンジニアリング専門企業です。,自動車の設計・開発支援、CAE解析、試作・評価
マッドハウス,6,制作スタッフは裁量があり、裁量労働制も活用,7,作家性を大切にするクリエイティブな文化,7,国際展開・共同制作・デジタル化に積極対応,8,“心を揺さぶる作品づくり”という理念が共有される,6,少人数単位での制作進行で連携が密,7,視聴者とのSNSやイベントでの接点もあり,6,プロジェクトごとの柔軟な体制が特徴,6,作品貢献・姿勢による相対評価が中心,7,自由度が高く、多様性も許容されやすい,6,アニメ市場全体の不安定さを背景に課題もあるが、IP支援で一定の安定性あり,エントリー , 書類選考 , 面接複数回 , 内定,,,アニメ制作への情熱、クリエイティブ志向、作品への理解と愛が重視される。,3月〜4月選考開始、5月内定。,「心に残るアニメ」「制作現場での協力」など。,ENFP,"INFJ, ENTP, ENTJ",https://www.madhouse.co.jp/,アニメーション,中規模,マッドハウスは、高いクオリティのアニメーションで国内外から評価されるアニメ制作会社です。,テレビアニメ・劇場映画・OVAの企画・制作
マツモトキヨシホールディングス,5,"店舗職はシフト制, 本社は裁量あり柔軟勤務可",6,地域医療・ヘルスケア支援を重視する誠実文化,6,調剤連携やEC拡大など複合戦略に挑戦中,6,“健康と美の提供”という理念が社内に浸透,6,店舗・本部・薬剤師の連携体制が進行中,9,顧客との接点は日々の接客で非常に多い,5,業務は標準化され裁量は限定的な場面もある,6,売上・接客・資格の複合評価が行われる,6,女性比率が高く多様性支援も進行中,8,地域密着・医療連携で高い生活密着型の安定性,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,ドラッグストア業界への理解、接客力、チームワークが求められる。,3月〜5月に選考、6月内定。,「接客対応で意識していること」「お客様のニーズをどう引き出すか」など。,ESTJ,"ENTP, ISTJ, ENTJ",https://www.matsukiyo.co.jp/,小売（ドラッグストア）,大規模,マツモトキヨシホールディングスは、ドラッグストア「マツモトキヨシ」を全国展開する業界最大手のひとつです。,医薬品・化粧品・日用品などを販売するドラッグストアの運営
マニュライフ生命,7,営業職は自由度が高く成果に応じた裁量あり,7,“信頼と透明性”を重視する外資系の文化,6,資産運用・ライフプラン連携領域での挑戦中,8,“お客様の人生を支える”という理念が徹底,6,営業と内勤が連携してチーム制で支援,8,顧客との面談で深い接点を築く機会が多い,6,役割分担は明確だが職種越境も許容される,8,成果主義＋成長機会提供がセットの制度,7,年齢・経歴問わず幅広く採用する文化,7,外資系ならではの基盤と収益構造で安定性あり,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,保険業界への理解、顧客志向、チームワークとリーダーシップが評価される。,3月〜5月選考、6月内定。,「顧客対応のエピソード」「困難を乗り越えた経験」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.manulife.co.jp/ja/individual.html,金融（保険）,大規模,マニュライフ生命は、カナダ発のグローバル保険グループで、日本ではライフプランに応じた多様な保険商品を提供しています。,生命保険商品の販売、資産形成支援、法人向け保険ソリューション
マネーフォワード,8,裁量大・フルリモート可・フレックスタイム導入,8,“オープンでフェア”を体現する信頼ベースの文化,8,B2B・B2C両軸でのSaaS＋金融DXに挑戦,9,“お金を前へ。人生をもっと前へ。”が明確な理念,7,エンジニア・PdM・CSが連携する横断組織,6,中小企業や個人ユーザーとの接点が多い,8,OKRやチーム横断PJで柔軟に動く業務体制,8,成果だけでなく行動・プロセスも重視する評価,9,多様性・育児・副業などへの対応が非常に進んでいる,7,成長業界で資金調達・提携も多く安定感がある,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,フィンテック業界への理解、デジタルサービスの企画・開発経験、柔軟性が求められる。,3月エントリー、4〜5月選考、6月内定。,「フィンテック業界の未来」「技術を活かした顧客支援」など。,ENTP,"INFJ, ENFP, ENTJ",https://corp.moneyforward.com/,フィンテック,中規模,マネーフォワードは、個人・法人向けに家計簿アプリやクラウド会計サービスを提供するFinTechのリーディングカンパニーです。,家計簿アプリ、クラウド会計・請求書サービス、資産管理ツールの開発・運営
マリオットホテル東京,5,シフト勤務が中心で裁量は職種依存,7,“ホスピタリティファースト”の国際的なサービス文化,6,高級路線＋MICE連携で多様なサービス展開に挑戦中,8,“思い出に残る体験を創る”という理念が徹底されている,6,宿泊・料飲・イベント部門が協働,9,接客・会話を通じた深い顧客接点が多数,5,業務マニュアルに沿った均一な運営体制,6,接客スキル＋継続勤務で評価される仕組み,7,外国籍社員・女性管理職比率も高め,8,グローバルブランドの信頼と顧客基盤で安定性あり,エントリー , 書類選考 , 面接複数回 , 内定,,,ホスピタリティ業界への熱意、柔軟な対応力、接客力が重視される。,3月〜5月選考、6月内定。,「印象に残る接客体験」「リーダーシップを発揮した経験」など。,ESFJ,"ENTP, ENFP, ESFP",https://www.marriott.co.jp/,ホテル,大規模,マリオットホテル東京は、世界的なホテルチェーン「マリオット・インターナショナル」が展開する高級ホテルの一つで、国際水準のホスピタリティを提供しています。,宿泊サービス、レストラン・宴会・ウェディング運営、観光業支援
マルゴト,8,スタートアップで裁量・自由度が非常に高い,8,“本質的なブランド支援”を掲げる少数精鋭の文化,7,D2C支援・ECコンサルなど成長領域に集中,8,“事業と人に、芯から向き合う”が理念にある,7,戦略・マーケ・制作が一体化した構成,6,支援企業・ブランドとの直接接点が多い,7,職種横断でプロジェクトに関与できる,8,成果だけでなく姿勢・プロセスを重視,8,年齢・経験問わず活躍可能で多様性も高い,6,成長市場だが事業拡張・人材確保が課題になり得る,エントリー , 書類選考 , 面接複数回 , 内定,,,小売業における顧客志向、フレンドリーなコミュニケーション力が求められる。,3月〜5月に選考、6月内定。,「顧客のニーズに応えた経験」「接客業で意識していること」など。,ENFP,"INFJ, ENTP, ENTJ",https://www.marugoto.co.jp/,食品・EC,中規模,マルゴトは、地域活性化を目的としたデジタルプロモーションやクリエイティブ制作を行う企業です。,自治体・企業向けのプロモーション支援、コンテンツ制作、DXコンサルティング
マンパワーグループ,6,営業・管理系職は比較的柔軟な働き方が可能,6,“人の可能性”を信じるグローバル人材企業の文化,6,DX人材や外国人雇用支援などにも挑戦中,7,“人を中心に社会を変える”という理念が強い,6,営業・キャリアアドバイザーが連携する体制,6,企業と求職者の双方との接点がある,6,職種別に標準業務があり、連携型の構造,6,実績＋チーム貢献でバランス評価される,7,外国籍社員比率も高く多様性に寛容,7,外資系かつ人材市場のニーズで一定の安定性,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,人材業界への理解、営業力、柔軟な対応力が評価される。,通年採用、3〜5月選考が多い。,「人材業界の課題」「どのように求職者と接するか」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.manpowergroup.jp/,人材サービス,大規模,マンパワーグループは、世界的な人材サービス企業で、日本でも幅広い業界に対する人材派遣・紹介を展開しています。,人材派遣、人材紹介、アウトソーシング、人事コンサルティング
ミクシィ,7,開発・企画部門は裁量が高くリモート制度もあり,7,“モンスト”に代表されるエンタメ×Techの文化,6,スポーツ事業・出会い領域などへの挑戦を継続中,7,“ユーザーサプライズファースト”が理念として浸透,6,プロダクト単位で開発・企画・マーケが連携,6,ファン・ユーザーとのコミュニケーション接点あり,7,裁量を持って業務設計できるフラットな体制,7,成果と成長の両面を評価する制度がある,8,柔軟な制度と多様な人材が活躍,7,IP強化・多角化により中期的な安定性を保持,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,SNSやモバイルサービスへの理解、ユーザー志向、デジタル業界への適応力が求められる。,3月〜5月選考、6月内定。,「SNSサービスの未来」「ユーザーのニーズをどう捉えるか」など。,ENTP,"INFJ, ENFP, ENTJ",https://mixi.co.jp/,IT・SNS,中規模,ミクシィは、SNS「mixi」の運営で知られた後、モンスターストライクなどのモバイルゲームで大きな成功を収めたIT企業です。,スマートフォンゲームの開発・運営、スポーツ・ライブ配信、エンタメ事業
ミサワホーム,6,"営業・設計職に一定の裁量あり, 勤務時間は部門依存",6,“住まいと暮らし”を重視する顧客志向文化,6,ZEH住宅・都市型住宅などの展開に注力,7,“住まいづくりを通じた幸せの創造”という理念が明確,6,営業・設計・施工がプロジェクト単位で連携,6,顧客とは面談・設計時に直接的な接点がある,6,業務分掌がありつつ横断連携も発展中,6,実績＋姿勢で評価される仕組み,6,女性管理職・育休制度等も徐々に進行中,7,住宅市場の変化はあるがブランド・技術で一定の安定性,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,住宅業界への関心、営業力、住まいづくりの提案力が重視される。,3月〜5月選考、6月内定。,「住宅業界の魅力」「自分が手掛けた提案経験」など。,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.misawa.co.jp/,住宅,大規模,ミサワホームは、木質パネル接着工法による住宅建築で知られる住宅メーカーで、デザイン性と機能性を両立した住まいを提供しています。,戸建住宅・集合住宅の設計・施工、不動産開発、リフォーム事業
ミサワリフォーム,6,営業や施工管理職に裁量があり柔軟な働き方も可能,6,住まいへの誠実な向き合い方が浸透する文化,6,戸建て・マンション・高齢者住宅など多角展開中,7,“生涯住まいのパートナー”という理念が共有される,6,設計・施工・営業の連携が求められる体制,6,顧客と何度も接点を持つ継続関係が特徴,6,業務プロセスの標準化と改善提案が混在,6,接客・提案・工事品質による多面的評価,6,中高年社員や女性スタッフも活躍する環境,7,戸建住宅維持ニーズにより安定感は高い,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,リフォーム業界への理解、提案力、住環境の改善意識が求められる。,3月〜5月選考、6月内定。,「リフォームの意義」「顧客との信頼関係構築」など。,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.misawa-reform.co.jp/,住宅リフォーム,中規模,ミサワリフォームは、ミサワホームのリフォーム専門子会社で、住まいの価値向上と快適な暮らしを提案しています。,住宅・マンションのリフォーム、リノベーション、耐震補強、バリアフリー対応
ミスタードーナツ,5,"店舗はシフト制, 本部職は裁量ありフレックス導入も一部あり",6,“おいしさと笑顔”を大切にする接客重視の文化,5,コラボ・地域限定商品などブランド刷新に挑戦中,6,“もっといいミスドをつくる”という理念が根付く,5,店舗・本部は分業気味で連携は限定的,9,接客を通じた顧客接点が非常に多い,5,マニュアル重視で柔軟性はやや限定的,5,売上・勤続・接遇スキルが複合的に評価,6,アルバイト・若手社員の活躍余地もあり,7,FCモデル＋全国知名度による安定感が強い,エントリー , 書類選考 , 面接複数回 , 内定,,,接客業への情熱、チームワーク、顧客志向が重視される。,3月〜5月に選考、6月内定。,「接客で気をつけていること」「笑顔で対応した経験」など。,ESFP,"ENTP, ENFP, ESFJ",https://www.misterdonut.jp/,飲食,中規模,ミスタードーナツは、日本全国に展開するドーナツチェーンで、幅広い年齢層に親しまれる定番スイーツブランドです。,ドーナツ・飲料・軽食の製造販売、フランチャイズ展開
みずほフィナンシャルグループ,6,"本部系はフレックスあり, 現場は時間管理が基本",6,大手金融グループとしての安定・堅実文化,6,FinTech連携・スタートアップ支援に挑戦中,7,“ともに未来を描く金融グループ”という理念が明示,6,銀行・証券・信託の連携が組織構造として確立,5,顧客との接点は営業・窓口・提案時に発生,6,本部横断PJなど一部柔軟な業務体制もあり,6,年功・実績を組み合わせた安定的な評価制度,6,女性登用・多様な制度整備は進行中,9,メガバンクとしてのスケールと財務基盤で極めて安定,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,金融変革への意欲、ロジカルな思考、協調性と柔軟性が評価される。,3月エントリー、4月選考、6月内定が多い。,「金融で解決したい社会課題」「主体性を示した経験」など。,INTJ,"ENTP, INTP, INFJ",https://www.mizuho-fg.co.jp/,金融,大規模,みずほフィナンシャルグループは、日本の三大メガバンクの一角であり、銀行・信託・証券など幅広い金融サービスを提供しています。,銀行業務、信託・資産運用、証券業務、法人金融、海外展開
みずほ証券,6,"営業部門は裁量あり, 管理系は時間管理が基本",6,証券らしいロジカル思考と顧客重視の文化,6,個人向け提案・DX連携・海外商品などに挑戦,7,“金融を通じて豊かさを届ける”という理念が共有,6,営業と商品部・アナリストが連携した提案体制,6,顧客接点は資産形成・法人IRなどで多岐にわたる,6,職種別に業務が分かれており、一定の柔軟性もあり,6,成果主義と行動評価のバランス型,6,金融業界内では女性活躍・外資出身者も多い,8,グループ一体運営により高い安定性を誇る,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,金融市場への理解、提案力・分析力・精神的タフさ、誠実な対応が評価される。,3月説明会、4月〜5月選考、6月内定が多い。,「注目する市場の動き」「営業で信頼を得る工夫」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mizuho-sc.com/,金融（証券）,大規模,みずほ証券は、みずほFG傘下の証券会社として、リテール・法人向けの投資商品や資金調達支援を提供しています。,証券業務（株式・債券の売買・引受）、M&Aアドバイザリー、資産運用コンサルティング
みずほ信託銀行,6,本部は裁量あり、営業部門は時間管理が基本,6,信託銀行ならではの専門性と安定性重視の文化,5,不動産信託・資産管理で新商品開発に取り組む,7,“信頼と安心の資産運用パートナー”という理念が共有,6,銀行・投資・相続部門などが連携した運営体制,5,接点は富裕層や法人が中心で限定的,6,業務分掌型だが本部横断PJも一部あり,6,実績・リスク管理・顧客対応の多軸評価,6,女性登用・障がい者雇用推進など多様性支援あり,8,メガバンクグループ内の専門機能として安定性が高い,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,金融知識・誠実さ・論理的思考・協調性を重視。業界志望理由が明確であることが大切。,3月中旬エントリー開始、5月中旬内定出し。,「なぜ信託銀行か」「学生時代に頑張ったこと」「長所と短所」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mizuho-tb.co.jp/,金融（信託）,大規模,みずほ信託銀行は、みずほフィナンシャルグループの一員として、信託・資産管理業務を専門に展開する金融機関です。,信託業務、不動産関連サービス、年金制度運営支援、資産管理・承継コンサルティング
みずほ総合研究所,6,"研究員は裁量あり, バックオフィスは時間管理型",7,政策提言・調査分析を担う知的で落ち着いた文化,6,ESG・経済政策・企業調査で多様な領域に挑戦中,7,“知見で社会と経済を支える”という理念が明確,6,研究・コンサル・営業が横断的に連携,5,接点は法人・官公庁等で一般生活者との接点は少ない,6,テーマベースで柔軟に業務を組成可能,6,成果＋レポートの質など複合的な評価,6,専門性重視だが中途・多様な研究員も活躍中,7,金融グループと公的需要の双方に支えられ安定性高い,エントリー , 書類選考 , 適性検査 , 面接複数回 , 内定,,論理的思考力・経済知識・プレゼン力が問われる。学術的知見を社会に活かす姿勢が評価される。,3月エントリー、4月〜5月にかけて面接、6月内定。,「研究テーマの概要と社会との関わり」「自己PR」「志望動機」など。,INTJ,"ENTP, INTP, INFJ",https://www.mizuho-ri.co.jp/,シンクタンク・コンサルティング,大規模,みずほ総合研究所は、経済・金融・政策などの分野でリサーチとコンサルティングを提供するシンクタンクです。,経済調査、経営コンサルティング、人材育成・研修サービス、政策提言
ミツミ電機,5,製造・技術職は工程管理が中心で裁量は限定的,6,正確さと効率を重視する堅実な製造業文化,6,電子部品のモジュール化や小型化に注力中,6,“小さな部品で世界を支える”という技術信仰の理念,5,開発と工場は分業傾向が強く連携は限定的,3,BtoB製品のためエンドユーザーとの接点は少ない,5,標準業務が中心でプロジェクト変化は少ない,5,年功＋技術貢献度での評価が一般的,5,男性中心・保守的な側面が残る,7,特定領域での技術優位性により安定供給が続く,エントリー , 書類選考 , 筆記試験 , 面接複数回 , 内定,,技術職は専門知識と探究心、事務系は協調性と業務理解が重視される。穏やかな社風。,3月エントリー、4月〜5月面接、6月内定。,「学生時代に学んだ技術の活かし方」「志望理由」「チームでの役割」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mitsumi.co.jp/,電子部品,中規模,ミツミ電機は、精密電子部品の開発・製造を行う企業で、ミネベアミツミのグループ会社としてグローバル展開しています。,電子機器部品、センサ、スイッチ、モジュール製品の製造・販売
ミネベアミツミ,5,製造現場は定型業務中心、技術・営業はやや裁量あり,6,精密機械部品の品質追求型文化が強い,6,センサー・モーターなど新領域に挑戦中,6,“世界最小・最軽量で社会を支える”という理念が共有,5,分業体制で設計・製造・営業が別組織として動く,4,エンドユーザーとの接点は間接的,5,業務プロセスは定型・効率化が徹底されている,5,生産性と勤続を重視した安定評価,5,現場主導型で多様性促進はこれからの段階,8,グローバル需要と独自製品により高い安定性を持つ,エントリー , Webテスト , 書類選考 , 面接複数回 , 内定,,グローバル展開に興味がある人材を歓迎。論理的思考・自発性・成長意欲が評価される。,3月中旬から説明会、4月選考、5月内定出し。,「海外で働くことへの意欲」「逆質問での積極性」「学生時代の挑戦」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.minebeamitsumi.com/,電子部品,大規模,ミネベアミツミは、精密機械加工部品から電子部品まで幅広い製品を手がけるグローバル製造企業です。,軸受、モーター、センサ、照明デバイス、電子機器の製造・販売
